Name,Age,Position,Batting-Hand,Bowling-Hand,Bowling-Type,Team,Country,Captain
Abhinav Manohar,28,Batsman,Right,Right,legbreak,GT,India,False
David Miller,33,Batsman,Left,Right,offbreak,GT,South Africa,False
Sai Sudharsan,21,Batsman,Left,Right,legbreak,GT,India,False
Shubman Gill,23,Batsman,Right,Right,offbreak,GT,India,False
Kane Williamson,32,Batsman,Right,Right,offbreak,GT,New Zealand,False
Hardik Pandya,29,Batting Allrounder,Right,Right,fast-medium,GT,India,False
Vijay Shankar,32,Batting Allrounder,Right,Right,medium,GT,India,False
Rahul Tewatia,29,Batting Allrounder,Left,Right,legbreak,GT,India,False
Rashid Khan,24,Bowling Allrounder,Right,Right,legbreak,GT,Afghanistan,False
Shivam Mavi,24,Bowling Allrounder,Right,Right,fast-medium,GT,India,False
Srikar Bharat,29,WK-Batsman,Right,None,None,GT,India,False
Urvil Patel,24,WK-Batsman,Right,None,None,GT,India,False
Wriddhiman Saha,38,WK-Batsman,Right,None,None,GT,India,False
Matthew Wade,35,WK-Batsman,Left,None,None,GT,Australia,False
Alzarri Joseph,26,Bowler,Right,Right,fast-medium,GT,West Indies,False
Joshua Little,23,Bowler,Right,Left,fast,GT,Ireland,False
Darshan Nalkande,24,Bowler,Right,Right,fast-medium,GT,India,False
Mohammed Shami,32,Bowler,Right,Right,fast-medium,GT,India,False
Noor Ahmad,18,Bowler,Right,Left,chinaman,GT,Afghanistan,False
Ravisrinivasan Sai Kishore,26,Bowler,Left,Left,orthodox,GT,India,False
Pradeep Sangwan,32,Bowler,Right,Left,fast-medium,GT,India,False
Mohit Sharma,34,Bowler,Right,Right,fast-medium,GT,India,False
Odean Smith,26,Bowler,Right,Right,medium,GT,West Indies,False
Jayant Yadav,33,Bowler,Right,Right,offbreak,GT,India,False
Yash Dayal,25,Bowler,Left,Left,fast-medium,GT,India,False
Manan Vohra,29,Batsman,Right,Right,medium,LSG,India,False
Prerak Mankad,28,Batsman,Right,Right,medium,LSG,India,False
Deepak Hooda,27,Batting Allrounder,Right,Right,offbreak,LSG,India,False
Karan Sharma,24,Batting Allrounder,Right,Right,offbreak,LSG,India,False
Krunal Pandya,32,Batting Allrounder,Left,Left,orthodox,LSG,India,False
Kyle Mayers,30,Batting Allrounder,Left,Right,medium,LSG,West Indies,False
Marcus Stoinis,33,Batting Allrounder,Right,Right,medium,LSG,Australia,False
Ayush Badoni,23,Bowling Allrounder,Right,Right,offbreak,LSG,India,False
Krishnappa Gowtham,34,Bowling Allrounder,Right,Right,offbreak,LSG,India,False
Daniel Sams,30,Bowling Allrounder,Right,Left,fast-medium,LSG,Australia,False
Swapnil Singh,32,Bowling Allrounder,Right,Left,orthodox,LSG,India,False
KL Rahul,30,WK-Batsman,Right,None,None,LSG,India,False
Quinton de Kock,30,WK-Batsman,Left,None,None,LSG,South Africa,False
Nicholas Pooran,27,WK-Batsman,Left,None,None,LSG,West Indies,False
Avesh Khan,26,Bowler,Right,Right,fast-medium,LSG,India,False
Mark Wood,33,Bowler,Right,Right,fast,LSG,England,False
Ravi Bishnoi,22,Bowler,Right,Right,legbreak,LSG,India,False
Jaydev Unadkat,31,Bowler,Right,Left,fast-medium,LSG,India,False
Yash Thakur,24,Bowler,Right,Right,medium,LSG,India,False
Romario Shepherd,28,Bowler,Right,Right,fast-medium,LSG,West Indies,False
Amit Mishra,40,Bowler,Right,Right,legbreak,LSG,India,False
Naveen-ul-Haq,23,Bowler,Right,Right,fast-medium,LSG,Afghanistan,False
Yudhvir Singh Charak,25,Bowler,Right,Right,fast-medium,LSG,India,False
Mayank Yadav,20,Bowler,Right,Right,fast-medium,LSG,India,False
Shimron Hetmyer,26,Batsman,Left,None,None,RR,West Indies,False
Yashasvi Jaiswal,21,Batsman,Left,Right,legbreak,RR,India,False
Devdutt Padikkal,22,Batsman,Left,Right,offbreak,RR,India,False
Riyan Parag,21,Batsman,Right,Right,legbreak,RR,India,False
Kunal Singh Rathore,20,Batsman,Left,None,None,RR,India,False
Joe Root,32,Batsman,Right,Right,offbreak,RR,England,False
Abdul Basith,24,Bowling Allrounder,Right,Right,offbreak,RR,India,False
Ravichandran Ashwin,36,Bowling Allrounder,Right,Right,offbreak,RR,India,False
Jason Holder,31,Bowling Allrounder,Right,Right,fast-medium,RR,West Indies,False
Sanju Samson,28,WK-Batsman,Right,None,None,RR,India,False
Jos Buttler,32,WK-Batsman,Right,None,None,RR,England,False
Donavon Ferreira,24,WK-Batsman,Right,None,None,RR,South Africa,False
Dhruv Jurel,22,WK-Batsman,Right,None,None,RR,India,False
Murugan Ashwin,32,Bowler,Right,Right,legbreak,RR,India,False
KM Asif,29,Bowler,Right,Right,medium,RR,India,False
Trent Boult,33,Bowler,Right,Left,fast-medium,RR,New Zealand,False
KC Cariappa,28,Bowler,Right,Right,legbreak,RR,India,False
Yuzvendra Chahal,32,Bowler,Right,Right,legbreak,RR,India,False
Obed McCoy,26,Bowler,Left,Left,fast-medium,RR,West Indies,False
Navdeep Saini,30,Bowler,Right,Right,fast,RR,India,False
Kuldeep Sen,26,Bowler,Right,Right,fast-medium,RR,India,False
Akash Vasisht,28,Bowler,Left,Left,orthodox,RR,India,False
Kuldip Yadav,26,Bowler,Left,Left,fast-medium,RR,India,False
Adam Zampa,30,Bowler,Right,Right,legbreak,RR,Australia,False
Rohit Sharma,35,Batsman,Right,Right,offbreak,MI,India,False
Dewald Brevis,19,Batsman,Right,Right,legbreak,MI,South Africa,False
Ramandeep Singh ,25,Batsman,Right,Right,medium,MI,India,False
Tilak Varma,20,Batsman,Left,Right,offbreak,MI,India,False
Nehal Wadhera,22,Batsman,Left,Right,legbreak,MI,India,False
Suryakumar Yadav,32,Batsman,Right,Right,offbreak,MI,India,False
Tim David,27,Batting Allrounder,Right,Right,medium,MI,Australia,False
Shams Mulani,26,Batting Allrounder,Left,Left,orthodox,MI,India,False
Piyush Chawla,34,Bowling Allrounder,Left,Right,legbreak,MI,India,False
Cameron Green,23,Bowling Allrounder,Right,Right,medium,MI,Australia,False
Kumar Kartikeya,25,Bowling Allrounder,Right,Left,chinaman,MI,India,False
Hrithik Shokeen,22,Bowling Allrounder,Right,Right,offbreak,MI,India,False
Arjun Tendulkar,23,Bowling Allrounder,Left,Left,fast-medium,MI,India,False
Ishan Kishan,24,WK-Batsman,Left,None,None,MI,India,False
Tristan Stubbs,22,WK-Batsman,Right,None,None,MI,South Africa,False
Vishnu Vinod,29,WK-Batsman,Right,None,None,MI,India,False
Jofra Archer,27,Bowler,Right,Right,fast,MI,England,False
Arshad Khan,25,Bowler,Left,Left,medium,MI,India,False
Jason Behrendorff,32,Bowler,Right,Left,fast-medium,MI,Australia,False
Raghav Goyal,22,Bowler,Left,Left,orthodox,MI,India,False
Duan Jansen,22,Bowler,Right,Left,fast,MI,South Africa,False
Akash Madhwal,29,Bowler,Right,Right,medium,MI,India,False
Abdul Samad,21,Batsman,Right,Right,legbreak,SRH,India,False
Mayank Agarwal,32,Batsman,Right,None,None,SRH,India,False
Anmolpreet Singh,25,Batsman,Right,Right,offbreak,SRH,India,False
Harry Brook,24,Batsman,Right,Right,medium,SRH,England,False
Aiden Markram,28,Batsman,Right,Right,offbreak,SRH,South Africa,False
Nitish Reddy,19,Batsman,Right,Right,fast-medium,SRH,India,False
Rahul Tripathi,32,Batsman,Right,Right,medium,SRH,India,False
Samarth Vyas,27,Batsman,Right,Right,legbreak,SRH,India,False
Sanvir Singh,26,Batting Allrounder,Right,Right,medium,SRH,India,False
Vivrant Sharma,23,Batting Allrounder,Left,Left,orthodox,SRH,India,False
Washington Sundar,23,Batting Allrounder,Left,Right,offbreak,SRH,India,False
Abhishek Sharma,22,Bowling Allrounder,Left,Left,orthodox,SRH,India,False
Marco Jansen,22,Bowling Allrounder,Right,Left,fast,SRH,South Africa,False
Heinrich Klaasen,31,WK-Batsman,Right,None,None,SRH,South Africa,False
