Name,Full Name,Age,Batting Style,Bowling Style,Role,Country,Team
MS Dhoni,Mahendra Singh Dhoni,41y 313d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,India,CSK
Akash Singh,Akash Maharaj Singh,21y 20d,Right hand Bat,Left arm Medium fast,Bowler,India,CSK
Moeen Ali,Moeen Munir Ali,35y 332d,Left hand Bat,Right arm Offbreak,Batting Allrounder,England,CSK
Bhagath Varma,Kanumuri Bhagath Varma,24y 237d,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India,CSK
Deepak Chahar,Deepak Lokandersingh Chahar,30y 282d,Right hand Bat,Right arm Medium,Bowler,India,CSK
Devon Conway,Devon Philip Conway,31y 312d,Left hand Bat,Right arm Medium,Wicketkeeper Batter,New Zealand,CSK
Tushar Deshpande,Tushar Uday Deshpande,28y 1d,Left hand Bat,Right arm Medium,Bowler,India,CSK
Shivam Dube,Shivam Dube,29y 324d,Left hand Bat,Right arm Medium,Allrounder,India,CSK
Ruturaj Gaikwad,Ruturaj Dashrat Gaikwad,26y 105d,Right hand Bat,Right arm Offbreak,Batter,India,CSK
Rajvardhan Hangargekar,Rajvardhan S Hangargekar,20y 187d,Right hand Bat,Right arm Fast medium,Bowling Allrounder,India,CSK
Ravindra Jadeja,Ravindrasinh Anirudhsinh Jadeja,34y 161d,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,CSK
Sisanda Magala,Sisanda Somila Bruce Magala,32y 129d,Right hand Bat,Right arm Fast medium,Bowler,South Africa,CSK
Ajay Mandal,Ajay Jadav Mandal,27y 80d,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,CSK
Matheesha Pathirana,Matheesha Pathirana,20y 149d,Right hand Bat,Right arm Fast,Bowler,Sri Lanka,CSK
Dwaine Pretorius,Dwaine Pretorius,34y 48d,Right hand Bat,Right arm Medium fast,Bowling Allrounder,South Africa,CSK
Ajinkya Rahane,Ajinkya Madhukar Rahane,34y 344d,Right hand Bat,Right arm Medium,Top order Batter,India,CSK
Shaik Rasheed,Shaik Rasheed,18y 234d,Right hand Bat,Legbreak,Batter,India,CSK
Ambati Rayudu,Ambati Thirupathi Rayudu,37y 235d,Right hand Bat,Right arm Offbreak,Middle order Batter,India,CSK
Mitchell Santner,Mitchell Josef Santner,31y 100d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,New Zealand,CSK
Subhranshu Senapati,Subhranshu Pradeep Senapati,26y 137d,Right hand Bat,Right arm Medium,Top order Batter,India,CSK
Simarjeet Singh,Simarjeet Singh,25y 119d,Right hand Bat,Right arm Medium fast,Bowler,India,CSK
Nishant Sindhu,Nishant Sindhu,19y 37d,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,CSK
Prashant Solanki,Prashant Hitesh Solanki,23y 83d,Right hand Bat,Legbreak,Bowler,India,CSK
Ben Stokes,Benjamin Andrew Stokes,31y 346d,Left hand Bat,Right arm Fast medium,Allrounder,England,CSK
